lat,long,elevation_m,distance_km
56.20465,-3.88238,309,9.044
56.20511,-3.88245,307.4,9.096
56.20543,-3.88247,306.3,9.131
56.20555,-3.88248,305.9,9.145
56.20562,-3.88246,305.8,9.153
56.20567,-3.88246,305.6,9.158
56.20585,-3.88241,305.3,9.179
56.20614,-3.88231,304.7,9.211
56.20642,-3.8822,304.2,9.243
56.20668,-3.88207,303.8,9.273
56.20696,-3.88187,303.6,9.307
56.20754,-3.88146,302.9,9.376
56.2083,-3.88095,300.1,9.467
56.20894,-3.88046,298.6,9.544
56.20939,-3.88009,297,9.599
56.21014,-3.87944,293.4,9.692
56.21035,-3.87926,292.5,9.718
56.21104,-3.87866,290,9.803
56.21122,-3.87853,288.9,9.825
56.21156,-3.87834,286.7,9.864
56.21187,-3.87817,285.6,9.9
56.21209,-3.87805,284.8,9.926
56.21228,-3.87793,284,9.948
56.21244,-3.87778,283.1,9.968
56.21258,-3.87759,282.3,9.988
56.2127,-3.87734,281.8,10.008
56.2128,-3.87708,281.5,10.028
56.21305,-3.87645,280.7,10.076
56.21327,-3.87592,280.5,10.117
56.21359,-3.87524,280.6,10.172
56.21375,-3.8749,280.7,10.2
56.21388,-3.87453,280.7,10.227
56.214,-3.87417,280.5,10.253
56.21404,-3.87406,280.5,10.261
56.21415,-3.87373,280.7,10.285
56.21423,-3.87355,280.8,10.299
56.21434,-3.87337,280.9,10.315
56.21445,-3.87321,280.8,10.331
56.2146,-3.87294,281,10.355
56.21475,-3.87261,281.4,10.381
56.21491,-3.87228,281.7,10.408
56.21515,-3.87176,282.1,10.45
56.21541,-3.87126,282.3,10.492
56.21549,-3.87112,282.3,10.505
56.21566,-3.8709,282.2,10.528
56.21597,-3.87053,282.9,10.57
56.2164,-3.86999,283.8,10.628
56.21662,-3.86972,283.6,10.658
56.21694,-3.86933,283.1,10.701
56.21714,-3.86908,282.7,10.728
56.21716,-3.86906,282.7,10.73
56.21744,-3.8687,281.8,10.769
56.2178,-3.86821,280.8,10.819
56.21826,-3.86758,279.1,10.883
56.21894,-3.86666,275.1,10.978
56.21936,-3.86609,274.1,11.037
56.21984,-3.86545,274.4,11.103
56.21999,-3.86523,274.9,11.125
56.22009,-3.86508,275.4,11.139
56.22016,-3.86495,275.8,11.15
56.22022,-3.86483,276.2,11.16
56.22023,-3.8648,276.3,11.162
56.22031,-3.86462,276.9,11.177
56.22037,-3.86444,277.5,11.19
56.22051,-3.86403,278,11.22
56.2206,-3.86377,278.4,11.238
56.2208,-3.86323,279.5,11.279
56.22087,-3.86304,279.8,11.293
56.221,-3.86271,280.1,11.318
56.22117,-3.86233,280.2,11.348
56.22131,-3.86207,280.3,11.37
56.22151,-3.86173,279.8,11.401
56.22166,-3.8614,279.6,11.427
56.2218,-3.86109,279.2,11.452
56.2223,-3.85996,277.4,11.541
56.222625,-3.85923,276.5,11.599
56.22295,-3.8585,276.1,11.657
56.22338,-3.857525,275.8,11.734
56.22381,-3.85655,275.3,11.811
56.22405,-3.85603,273.8,11.853
56.22434,-3.85537,271.7,11.905
56.2244,-3.85521,271.3,11.917
56.22446,-3.85502,270.9,11.931
56.2245,-3.85488,270.8,11.94
56.22453,-3.85474,270.6,11.95
56.22455,-3.85462,270.4,11.957
56.22459,-3.85434,270,11.975
56.22468,-3.85366,269.3,12.019
56.22475,-3.85319,269.3,12.049
56.22495,-3.85187,269.7,12.133
56.22501,-3.85142,269.9,12.162
56.2251,-3.85074,269.1,12.205
56.22515,-3.85037,269.2,12.229
56.22519,-3.85012,269.3,12.245
56.22524,-3.84976,269.2,12.268
56.22528,-3.84956,269,12.281
56.22533,-3.84932,268.7,12.297
56.2254,-3.84902,267.9,12.317
56.22551,-3.84858,267,12.347
56.22557,-3.84837,266.7,12.361
56.22566,-3.8481,266.3,12.381
56.22574,-3.84789,266.1,12.397
56.22585,-3.84759,266.1,12.419
56.22592,-3.84738,266.1,12.434
56.22596,-3.84727,266,12.442
56.22602,-3.84713,265.7,12.453
56.22609,-3.84701,265.4,12.464
56.22618,-3.84686,264.9,12.478
56.22634,-3.84666,264.3,12.499
56.22656,-3.84639,263.9,12.529
56.22674,-3.84617,264.2,12.553
56.22689,-3.84599,264.7,12.573
56.22695,-3.84592,264.9,12.581
56.22702,-3.84585,265.1,12.59
56.22711,-3.84576,265.3,12.602
56.22746,-3.84547,265.5,12.644
56.22782,-3.84517,266,12.689
56.22798,-3.84504,266.2,12.708
56.22806,-3.84496,266.3,12.718
56.22816,-3.84485,266.1,12.731
56.22827,-3.8447,266,12.747
56.22874,-3.84401,265.7,12.814
56.22907,-3.84352,265.7,12.862
56.22934,-3.84312,266.1,12.901
56.2295,-3.84286,265.7,12.925
56.22975,-3.84238,265.7,12.966
56.2301,-3.84172,267.1,13.022
56.23026,-3.84141,267,13.048
56.23043,-3.84114,266.9,13.073
56.23059,-3.8409,266.7,13.097
56.231045,-3.84029,266.8,13.16
56.2315,-3.83968,266.9,13.223
56.23178,-3.83931,266.9,13.262
56.23219,-3.83874,267.2,13.319
56.23238,-3.83848,266.7,13.346
56.23292,-3.83772,264.6,13.422
56.23354,-3.83682,262.1,13.511
